id,property_id,maintenance_name,cost,maintenance_type,due_date
1,205,Organic upward-trending pricing structure,$174.32,scheduled,2023-03-11 23:24:31
2,461,Networked 6th generation website,$2106.89,preventative,2024-04-30 20:44:41
3,981,Vision-oriented modular success,$2423.44,emergency,2024-09-26 19:25:13
4,768,Multi-lateral dedicated secured line,$2454.62,preventative,2024-10-03 02:10:13
5,512,Synchronised mobile circuit,$2394.38,preventative,2024-03-23 14:47:13
6,761,Digitized didactic extranet,$343.45,emergency,2024-09-27 04:49:30
7,444,Polarised radical project,$2082.64,emergency,2025-03-08 19:20:28
8,89,Down-sized web-enabled core,$1124.62,cosmetic,2024-07-17 00:02:36
9,309,Devolved zero administration matrix,$2205.88,preventative,2024-12-17 18:28:55
10,92,Multi-layered leading edge archive,$835.92,preventative,2023-03-20 02:13:55
11,464,Pre-emptive composite forecast,$280.75,emergency,2023-10-09 17:00:06
12,379,Diverse solution-oriented monitoring,$2262.76,cosmetic,2023-04-05 02:49:25
13,528,Decentralized system-worthy matrices,$1358.64,cosmetic,2023-08-13 15:17:12
14,774,Fundamental demand-driven projection,$1601.28,cosmetic,2023-03-22 06:35:09
15,488,Versatile mobile alliance,$132.39,emergency,2024-04-24 00:08:43
16,727,Intuitive dynamic projection,$2270.46,scheduled,2023-05-03 09:08:26
17,740,Expanded well-modulated middleware,$750.46,emergency,2024-11-11 02:17:09
18,208,Versatile upward-trending neural-net,$1925.53,preventative,2023-09-06 09:07:11
19,464,Managed multi-tasking customer loyalty,$384.17,cosmetic,2024-04-28 06:59:11
20,806,Inverse didactic contingency,$2072.19,scheduled,2023-10-12 23:37:50
21,895,Open-source executive budgetary management,$778.24,emergency,2024-06-21 23:21:12
22,84,Horizontal incremental ability,$1497.65,emergency,2023-11-25 09:40:40
23,20,Innovative background emulation,$1288.16,cosmetic,2025-07-16 07:46:22
24,615,Public-key upward-trending policy,$1421.06,preventative,2025-03-17 19:38:54
25,728,Optimized even-keeled architecture,$670.79,preventative,2024-04-19 20:55:02
26,995,Synergistic upward-trending superstructure,$870.82,scheduled,2025-07-09 14:14:02
27,229,Horizontal uniform open architecture,$1013.58,emergency,2024-01-19 06:53:40
28,32,Ameliorated tangible task-force,$883.48,scheduled,2023-10-29 16:58:41
29,111,Persevering zero defect productivity,$1464.65,preventative,2023-09-16 16:10:44
30,901,Enhanced bifurcated ability,$607.88,scheduled,2024-09-19 11:08:39
31,213,Open-architected 24/7 intranet,$2354.20,emergency,2024-05-26 05:34:44
32,101,Organized dedicated functionalities,$624.46,scheduled,2024-06-17 00:05:14
33,699,Ameliorated national conglomeration,$2418.50,preventative,2024-08-04 18:49:05
34,216,Upgradable mission-critical benchmark,$1236.41,cosmetic,2024-01-27 01:23:01
35,558,Diverse disintermediate Graphical User Interface,$1934.54,preventative,2023-10-17 11:02:59
36,705,Robust system-worthy complexity,$1388.73,emergency,2024-01-28 15:10:12
37,297,Polarised reciprocal superstructure,$1388.03,preventative,2023-06-23 01:33:24
38,266,Right-sized composite functionalities,$272.78,cosmetic,2025-02-24 02:41:28
39,977,Implemented bottom-line firmware,$702.34,cosmetic,2024-10-12 11:38:45
40,469,Phased attitude-oriented paradigm,$29.03,cosmetic,2024-05-17 07:57:04
41,889,Re-contextualized heuristic utilisation,$1183.69,cosmetic,2023-06-23 01:33:49
42,464,Ameliorated fresh-thinking conglomeration,$1079.68,cosmetic,2025-05-07 20:31:17
43,178,Innovative systemic productivity,$1084.29,emergency,2024-05-17 01:54:10
44,18,Public-key foreground hierarchy,$894.74,cosmetic,2023-05-26 23:17:34
45,55,Multi-lateral cohesive website,$2389.96,cosmetic,2024-01-01 15:39:04
46,882,Centralized non-volatile task-force,$1105.97,emergency,2024-10-09 01:37:46
47,624,Profound transitional synergy,$1281.62,emergency,2025-03-01 07:41:49
48,261,Virtual multimedia core,$2329.32,preventative,2023-09-12 22:57:51
49,339,Persevering responsive concept,$2432.23,scheduled,2023-09-17 17:34:33
50,375,Function-based non-volatile artificial intelligence,$1622.24,preventative,2025-05-17 20:43:44
51,393,De-engineered bi-directional workforce,$746.85,scheduled,2025-07-18 10:58:52
52,943,Stand-alone bi-directional throughput,$1031.49,emergency,2023-12-27 00:17:20
53,977,Exclusive 4th generation frame,$1716.23,scheduled,2025-03-25 18:57:35
54,722,Optional heuristic website,$2064.99,preventative,2024-06-29 13:57:58
55,904,Assimilated didactic local area network,$1438.32,scheduled,2024-06-28 12:28:48
56,160,Synchronised 6th generation superstructure,$1948.98,emergency,2023-07-07 01:55:38
57,115,Re-contextualized didactic process improvement,$2389.91,scheduled,2024-04-06 19:01:54
58,711,Object-based fresh-thinking orchestration,$2092.09,cosmetic,2025-01-15 02:06:44
59,966,Integrated responsive synergy,$1104.74,scheduled,2024-11-06 15:27:38
60,293,Exclusive grid-enabled emulation,$397.22,emergency,2025-05-09 17:43:19
61,241,Robust multi-tasking encryption,$197.55,emergency,2024-02-10 02:20:56
62,564,Optional mission-critical emulation,$1844.63,emergency,2024-12-16 17:26:37
63,538,Ameliorated 24 hour customer loyalty,$988.10,emergency,2025-05-18 08:26:53
64,498,Cross-platform 24/7 policy,$1996.33,scheduled,2024-08-17 16:07:02
65,842,Realigned systemic open system,$1218.16,scheduled,2025-07-27 23:54:12
66,100,Assimilated impactful artificial intelligence,$1410.65,scheduled,2025-01-20 05:37:46
67,314,Managed local parallelism,$959.66,cosmetic,2024-12-05 13:09:23
68,94,Seamless well-modulated software,$1605.31,scheduled,2024-09-29 14:07:01
69,565,Customizable static access,$1636.85,emergency,2024-12-11 05:19:20
70,584,Synchronised high-level contingency,$2253.16,cosmetic,2025-07-04 09:50:16
71,339,Ameliorated needs-based orchestration,$1110.67,scheduled,2025-06-18 18:43:33
72,110,Multi-lateral didactic protocol,$582.61,preventative,2024-09-20 07:31:40
73,260,User-friendly bifurcated system engine,$2090.88,emergency,2024-05-26 05:06:55
74,67,Automated radical challenge,$592.33,preventative,2024-12-18 03:29:56
75,84,Networked neutral challenge,$1444.94,cosmetic,2023-06-19 04:40:53
76,932,Re-engineered client-driven info-mediaries,$2220.90,emergency,2025-07-22 19:13:37
77,806,Open-source holistic service-desk,$651.52,preventative,2025-03-20 03:12:07
78,51,De-engineered responsive installation,$385.13,scheduled,2025-03-27 02:51:32
79,488,Reactive contextually-based project,$1799.16,emergency,2023-12-01 04:45:10
80,549,Down-sized didactic open architecture,$2224.54,cosmetic,2024-07-30 04:07:16
81,20,Innovative empowering leverage,$1173.15,scheduled,2023-10-18 14:01:13
82,397,Organic multimedia pricing structure,$994.50,cosmetic,2024-01-07 22:57:05
83,818,Customizable dedicated orchestration,$2317.31,preventative,2023-09-25 15:38:51
84,582,Front-line even-keeled project,$2397.80,cosmetic,2024-09-27 00:47:32
85,395,Right-sized grid-enabled firmware,$2020.93,emergency,2025-01-07 07:56:08
86,690,Managed homogeneous attitude,$1310.27,emergency,2025-07-20 16:04:39
87,466,Visionary real-time ability,$2095.63,emergency,2025-05-26 20:55:21
88,810,Ergonomic user-facing framework,$1069.17,cosmetic,2024-02-18 07:48:26
89,419,Multi-layered object-oriented functionalities,$272.38,scheduled,2024-06-02 06:29:55
90,52,Fundamental 4th generation algorithm,$1389.34,scheduled,2023-04-06 01:48:24
91,31,Extended didactic array,$1115.18,scheduled,2024-07-05 23:28:06
92,202,Function-based systemic productivity,$212.47,cosmetic,2023-12-03 07:32:37
93,292,Persistent motivating time-frame,$798.83,cosmetic,2023-07-29 21:43:17
94,499,Right-sized incremental methodology,$1473.18,emergency,2025-05-28 03:19:07
95,595,Balanced user-facing website,$1180.61,cosmetic,2025-05-06 15:44:57
96,161,Profit-focused human-resource archive,$2248.57,emergency,2024-02-04 08:10:49
97,807,Persistent zero administration productivity,$2140.33,emergency,2024-12-04 09:43:32
98,9,Innovative optimal product,$2076.28,scheduled,2024-06-14 23:15:44
99,754,Open-source radical contingency,$676.21,scheduled,2023-10-08 14:06:17
100,390,Face to face 6th generation help-desk,$384.89,scheduled,2024-08-05 13:20:51
101,361,Implemented systemic open system,$2131.16,scheduled,2024-02-17 09:35:52
102,558,Persistent background hierarchy,$433.59,preventative,2025-08-21 04:31:34
103,660,Reactive full-range analyzer,$578.39,scheduled,2023-12-17 17:22:57
104,782,Vision-oriented empowering encryption,$2175.83,cosmetic,2025-02-28 09:13:31
105,313,Open-source asynchronous leverage,$2447.72,preventative,2024-03-07 17:39:42
106,616,Visionary intangible service-desk,$1006.48,preventative,2024-11-20 18:47:22
107,905,Down-sized next generation product,$1580.01,scheduled,2025-06-05 23:19:17
108,346,Programmable object-oriented open system,$560.31,cosmetic,2024-03-19 00:31:06
109,1,Public-key analyzing conglomeration,$1974.55,cosmetic,2024-01-07 08:36:55
110,738,Seamless contextually-based extranet,$1982.12,cosmetic,2023-06-02 09:18:32
111,765,Progressive 4th generation application,$1797.62,scheduled,2023-10-02 12:36:37
112,398,Proactive responsive standardization,$80.70,preventative,2023-11-11 15:43:03
113,898,Operative systematic software,$1222.72,cosmetic,2024-06-22 07:52:49
114,592,Customizable modular challenge,$2316.84,preventative,2025-04-21 01:02:42
115,910,Operative stable installation,$251.09,cosmetic,2023-11-13 18:57:57
116,703,Distributed needs-based moratorium,$1437.76,preventative,2025-06-16 04:25:24
117,753,Monitored clear-thinking benchmark,$1786.19,cosmetic,2025-05-28 21:39:33
118,500,Exclusive modular database,$514.69,cosmetic,2023-11-24 06:19:23
119,739,Multi-tiered background help-desk,$2073.35,emergency,2023-06-25 07:55:51
120,589,Operative needs-based orchestration,$2006.48,scheduled,2024-10-20 20:16:58
121,811,Managed mission-critical infrastructure,$5.48,preventative,2024-10-01 11:47:34
122,658,Phased human-resource open architecture,$36.08,emergency,2025-07-02 15:32:41
123,58,Mandatory transitional artificial intelligence,$1879.43,cosmetic,2023-09-07 18:21:54
124,849,Multi-tiered global Graphical User Interface,$1619.96,cosmetic,2025-04-09 19:57:35
125,611,Phased background success,$2476.83,scheduled,2024-08-18 05:30:01
126,838,Reactive multimedia internet solution,$891.79,cosmetic,2024-03-26 08:14:52
127,448,Compatible bandwidth-monitored architecture,$443.91,cosmetic,2024-03-11 05:32:32
128,597,Optimized bandwidth-monitored installation,$1673.38,emergency,2023-03-25 23:34:26
129,368,Integrated tangible Graphical User Interface,$1603.98,emergency,2025-07-19 13:05:46
130,859,Open-source background website,$119.29,emergency,2023-12-28 09:59:28
131,93,Monitored web-enabled product,$886.62,emergency,2024-03-09 12:29:14
132,532,Phased stable help-desk,$1197.15,preventative,2024-11-10 09:09:16
133,733,Balanced local groupware,$1143.92,scheduled,2024-08-14 09:46:50
134,608,Programmable systemic neural-net,$963.46,cosmetic,2024-11-24 12:51:33
135,228,Function-based explicit moratorium,$2067.67,scheduled,2024-08-26 07:50:27
136,502,Managed clear-thinking budgetary management,$379.19,emergency,2024-10-10 02:08:15
137,620,Fully-configurable homogeneous firmware,$978.01,preventative,2025-07-14 10:02:29
138,581,Reverse-engineered tangible support,$195.83,preventative,2024-10-21 02:59:30
139,46,Integrated zero tolerance orchestration,$365.39,cosmetic,2023-03-31 06:35:50
140,606,Robust foreground flexibility,$748.32,cosmetic,2024-02-23 14:29:15
141,272,Right-sized incremental conglomeration,$1744.18,scheduled,2025-03-09 21:53:08
142,528,Team-oriented interactive customer loyalty,$2372.06,cosmetic,2024-05-14 01:17:35
143,7,Profit-focused foreground leverage,$1852.30,preventative,2023-07-12 01:45:24
144,748,Horizontal user-facing portal,$1194.84,scheduled,2024-08-22 01:02:00
145,450,Horizontal radical orchestration,$1534.66,scheduled,2025-01-07 16:11:01
146,927,Front-line tangible middleware,$2068.44,emergency,2023-07-22 09:43:27
147,6,Open-architected 24 hour product,$1078.37,cosmetic,2025-03-18 01:44:15
148,646,Cross-group responsive concept,$659.90,cosmetic,2023-03-16 04:45:16
149,219,Function-based hybrid array,$2248.53,preventative,2025-06-02 07:53:10
150,209,Team-oriented dynamic definition,$489.03,preventative,2023-10-19 11:28:48
151,428,Robust empowering internet solution,$347.27,scheduled,2023-04-18 20:07:42
152,899,Enhanced bi-directional support,$2338.29,cosmetic,2023-12-17 21:48:56
153,939,Programmable radical archive,$1103.23,preventative,2024-03-05 00:23:37
154,603,Operative intermediate methodology,$681.92,emergency,2024-08-01 14:30:58
155,430,Fundamental executive installation,$1587.62,scheduled,2025-07-24 01:31:45
156,125,Triple-buffered 5th generation knowledge user,$1461.72,emergency,2025-08-05 04:16:54
157,862,Switchable maximized ability,$1701.74,scheduled,2025-03-09 20:20:25
158,496,Optional demand-driven time-frame,$1472.13,emergency,2024-07-03 13:28:56
159,543,Streamlined bi-directional success,$689.97,cosmetic,2023-05-12 02:51:02
160,112,Decentralized local moderator,$87.38,emergency,2024-03-09 23:02:06
161,318,Front-line multi-state portal,$1434.76,scheduled,2025-02-22 04:04:37
162,649,Triple-buffered disintermediate throughput,$743.66,preventative,2025-04-03 02:53:21
163,793,Grass-roots encompassing task-force,$1005.80,scheduled,2023-04-02 03:55:48
164,759,User-friendly bifurcated circuit,$1661.08,cosmetic,2024-09-03 02:32:54
165,504,Open-source scalable interface,$2073.34,cosmetic,2024-04-16 23:28:07
166,142,Open-architected discrete focus group,$1146.82,preventative,2023-12-28 02:48:06
167,444,Organic maximized knowledge base,$1350.41,preventative,2023-03-23 19:26:01
168,622,Object-based object-oriented focus group,$434.46,emergency,2023-05-15 09:51:32
169,406,Triple-buffered motivating archive,$309.39,emergency,2023-05-21 17:52:17
170,224,Realigned composite database,$83.31,scheduled,2025-02-08 20:13:37
171,493,Streamlined asynchronous capability,$389.82,scheduled,2024-12-10 05:38:25
172,698,Balanced maximized frame,$351.83,scheduled,2023-06-26 06:15:23
173,453,Realigned dynamic project,$316.00,emergency,2024-09-27 13:58:29
174,663,Compatible multi-tasking parallelism,$1364.34,cosmetic,2024-03-26 09:41:51
175,24,Multi-lateral system-worthy moderator,$2445.74,preventative,2024-01-07 07:03:39
176,329,Monitored radical function,$1019.64,preventative,2025-08-12 05:45:11
177,547,Devolved reciprocal knowledge base,$2171.20,emergency,2024-03-26 15:31:04
178,616,Optional systemic functionalities,$1887.93,scheduled,2023-07-17 03:06:20
179,43,Mandatory bifurcated utilisation,$1767.16,preventative,2023-11-18 05:45:58
180,390,Front-line content-based productivity,$540.44,emergency,2024-09-12 04:41:42
181,10,Intuitive asynchronous initiative,$1122.44,preventative,2024-07-23 13:40:23
182,941,Virtual context-sensitive adapter,$1487.18,emergency,2024-09-14 22:51:05
183,967,Progressive homogeneous approach,$1452.74,cosmetic,2023-07-17 01:23:30
184,899,Automated upward-trending budgetary management,$2340.03,preventative,2024-05-11 11:32:30
185,218,Mandatory zero tolerance instruction set,$495.29,scheduled,2025-04-14 10:54:25
186,550,Centralized disintermediate conglomeration,$1580.73,cosmetic,2023-05-06 21:47:13
187,976,Proactive bi-directional moratorium,$553.49,cosmetic,2023-04-03 10:24:01
188,422,Innovative mobile data-warehouse,$1359.20,emergency,2024-07-06 02:04:50
189,724,Function-based context-sensitive access,$1137.76,cosmetic,2024-04-07 03:04:56
190,115,Distributed mobile implementation,$1578.19,preventative,2024-05-22 06:06:53
191,118,Persevering asynchronous analyzer,$1310.34,preventative,2024-07-15 16:24:03
192,168,Sharable encompassing parallelism,$396.02,preventative,2025-03-01 06:04:09
193,487,Fundamental tertiary middleware,$1595.35,cosmetic,2025-01-28 14:56:25
194,468,Grass-roots mobile system engine,$1102.26,emergency,2024-02-08 14:47:09
195,743,Configurable demand-driven standardization,$1850.21,scheduled,2024-12-14 14:29:04
196,346,Realigned transitional circuit,$1644.26,scheduled,2024-12-04 22:29:13
197,5,Self-enabling even-keeled intranet,$630.14,preventative,2025-02-11 19:44:09
198,151,Quality-focused bandwidth-monitored task-force,$1494.26,scheduled,2023-05-26 04:38:25
199,969,Optional value-added system engine,$1488.02,emergency,2024-02-10 12:01:04
200,282,Future-proofed tertiary challenge,$1667.55,scheduled,2024-11-14 09:35:12
201,927,Advanced 6th generation customer loyalty,$833.88,cosmetic,2023-06-14 00:22:44
202,263,Self-enabling zero defect moratorium,$638.42,emergency,2025-02-18 17:38:33
203,259,Cross-platform demand-driven analyzer,$565.69,preventative,2024-11-13 04:10:38
204,323,Multi-channelled systemic capacity,$979.90,preventative,2024-02-07 17:49:56
205,477,Visionary regional info-mediaries,$2485.46,scheduled,2024-01-04 02:36:48
206,416,Seamless 24 hour throughput,$18.38,preventative,2025-05-22 13:49:44
207,600,Re-engineered non-volatile moratorium,$1210.81,cosmetic,2024-06-30 16:54:29
208,6,Synchronised encompassing archive,$2024.36,scheduled,2023-07-04 23:27:11
209,255,Optimized context-sensitive emulation,$1840.62,cosmetic,2024-03-20 11:25:16
210,452,Customizable homogeneous website,$114.06,preventative,2025-02-09 01:18:27
211,534,Focused coherent monitoring,$407.96,scheduled,2024-01-14 15:54:11
212,721,Balanced empowering knowledge base,$1161.91,cosmetic,2025-06-11 12:07:46
213,848,Fundamental actuating focus group,$373.22,preventative,2023-11-21 14:37:20
214,9,Compatible 24 hour open architecture,$58.17,scheduled,2025-07-23 00:11:02
215,298,Customer-focused fresh-thinking extranet,$1829.46,scheduled,2025-02-21 01:04:42
216,84,Pre-emptive logistical website,$16.86,emergency,2024-05-12 07:24:50
217,401,Self-enabling zero tolerance database,$1371.81,cosmetic,2024-03-20 02:04:58
218,248,Public-key content-based monitoring,$2145.89,scheduled,2024-10-02 08:30:36
219,182,Multi-channelled well-modulated open architecture,$1703.00,emergency,2024-11-02 03:11:03
220,455,Devolved maximized utilisation,$620.65,emergency,2024-08-04 02:13:41
221,473,Synergistic bi-directional algorithm,$2237.56,scheduled,2024-01-14 11:24:35
222,629,Reduced interactive info-mediaries,$434.37,preventative,2023-05-20 09:07:07
223,689,Ameliorated radical contingency,$2066.49,cosmetic,2023-06-26 16:21:05
224,480,Distributed hybrid open system,$2377.48,cosmetic,2025-04-05 23:39:48
225,139,Synergized maximized function,$1842.35,emergency,2023-03-15 08:15:41
226,410,Universal logistical firmware,$2203.39,cosmetic,2023-03-24 22:56:29
227,767,Robust incremental strategy,$2251.55,preventative,2024-01-29 08:31:21
228,428,Triple-buffered 24 hour adapter,$630.80,cosmetic,2025-02-05 14:34:55
229,103,Profit-focused grid-enabled success,$2277.91,cosmetic,2024-06-15 16:03:29
230,951,Fully-configurable real-time frame,$1573.45,scheduled,2023-07-10 04:33:51
231,781,Streamlined client-driven concept,$2228.84,cosmetic,2025-04-29 11:50:32
232,80,Innovative fault-tolerant methodology,$1266.94,emergency,2025-05-31 22:30:55
233,344,Universal systematic time-frame,$852.47,emergency,2024-11-21 06:35:08
234,173,Multi-tiered executive functionalities,$695.77,preventative,2024-07-03 10:35:50
235,919,Down-sized responsive time-frame,$971.27,emergency,2024-10-07 03:35:47
236,526,Customer-focused tertiary contingency,$2063.90,scheduled,2025-08-19 06:44:05
237,869,Sharable optimizing alliance,$1776.97,scheduled,2023-12-30 06:25:52
238,348,Stand-alone content-based installation,$246.61,cosmetic,2024-12-13 11:36:07
239,628,Balanced leading edge model,$2075.06,scheduled,2025-02-09 10:53:36
240,874,Progressive systematic flexibility,$1545.71,preventative,2025-02-03 07:40:40
241,412,Operative regional initiative,$1946.53,scheduled,2024-07-28 14:57:02
242,239,Adaptive directional data-warehouse,$104.95,emergency,2025-07-13 11:02:13
243,493,Virtual analyzing service-desk,$962.03,cosmetic,2024-10-24 18:02:10
244,609,Organized incremental ability,$1582.40,scheduled,2023-06-26 00:18:55
245,431,Vision-oriented impactful array,$655.46,cosmetic,2024-04-22 11:09:40
246,665,Open-architected clear-thinking success,$1198.78,preventative,2023-05-16 12:42:30
247,282,Optional modular encryption,$1437.59,scheduled,2023-10-27 02:20:32
248,930,Seamless tertiary forecast,$212.11,emergency,2024-08-23 15:28:49
249,751,Proactive solution-oriented info-mediaries,$365.47,cosmetic,2023-04-02 19:03:34
250,359,Versatile 24 hour structure,$550.51,cosmetic,2023-11-19 15:58:07
